,2025,2030
1.Population_Grid,13449341.971010141,15966111.189465905
1.Population_SA_Diesel,0,0
1.Population_SA_PV,0,10633888.810533091
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,11401141.971010188,2516769.2184556024
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,0,10633888.810533091
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,207601.5493860148,95671.0644516422
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,0,50979.504816110144
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,2719638245.997678,235315153.84824297
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,0,264060364.047604
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
InvestmentCostLV_Grid,505026402.1038803,32185707.284234017
InvestmentCostMV_Grid,649485798.6366359,47940754.50134357
InvestmentCostHV_Grid,945453.0831079559,774377.4608697564
InvestmentCostTransformer_Grid,847014000.0,8040205.901514646
InvestmentCostConnection_Grid,328121288.62470084,41761530.824922346
CapitalCapacityInvestment_Grid,389045303.5493982,104612577.87535901
InvestmentCostLV_MG,0,0
InvestmentCostMV_MG,0,0
InvestmentCostHV_MG,0,0
InvestmentCostTransformer_MG,0,0
InvestmentCostConnection_MG,0,0
CapitalCapacityInvestment_MG,0,0
CapitalCapacityInvestment_SA,0,264060364.047604
Min_cluster_pop_2030,0.005251876813192918,0.005973524303346302
Max_cluster_pop_2030,1423995.4555459816,1808717.995455311
Min_cluster_area,0.012,0.012
Max_cluster_area,306.064,306.064
Min_existing_grid_dist,0.00036,0.00036
Max_existing_grid_dist,41.10056,41.10056
Min_road_dist,0.00013000000000000002,0.00013000000000000002
Max_road_dist,65.33239,65.33239
Min_investment_capita_cost,40.839859807018286,22.79262074075607
Max_investment_capita_cost,5614083.234175125,2631.2885485526726
